Date;Yt;X2t;X3t;X4t;X5t;;;
1960;80,00;1,78;6,95;1,11;25088;;;
1961;55,40;2,27;7,32;0,67;26561;;;
1962;66,20;2,21;6,96;0,83;25510;;;
1963;68,90;2,15;7,18;0,75;27158;;;
1964;63,70;2,26;7,46;1,06;27162;;;
1965;57,60;2,49;7,47;1,10;27583;;;
1966;59,10;2,52;7,88;1,09;28235;;;
1967;64,80;2,46;7,88;1,18;29413;;;
1968;55,70;2,54;7,97;0,88;28713;;;
1969;63,60;2,72;7,96;1,30;30000;;;
1970;69,80;2,60;8,09;1,17;30533;;;
1971;47,80;2,87;8,24;0,94;30373;;;
1972;54,00;3,00;7,96;0,91;31107;;;
1973;47,10;3,23;8,34;1,10;31126;;;
1974;58,00;3,11;8,10;1,50;32506;;;
1975;52,50;3,11;8,43;1,17;32408;;;
1976;57,90;3,09;8,72;1,18;33423;;;
1977;52,80;3,34;8,87;1,37;33904;;;
1978;53,50;3,31;8,82;1,52;34528;;;
1979;55,30;3,42;8,59;1,15;36019;;;
1980;55,20;3,61;8,83;1,39;34807;;;
1981;42,10;3,55;8,86;1,60;35943;;;
1982;59,20;3,72;8,97;1,73;37323;;;
1983;54,60;3,72;9,13;1,35;36682;;;
1984;56,20;3,70;8,98;1,37;38054;;;
1985;49,90;3,81;9,25;1,41;36707;;;
1986;47,80;3,86;9,33;1,62;38411;;;
1987;45,40;3,99;9,47;1,69;38823;;;
1988;48,80;3,89;9,49;1,71;38361;;;
1989;53,10;4,07;9,52;1,69;41593;;;
1990;44,70;4,17;9,57;1,70;40497;;;
1991;53,40;4,24;9,61;1,73;42657;;;
1992;45,00;4,01;9,32;1,65;38511;;;
1993;50,00;3,99;9,45;1,64;38832;;;
1994;50,80;3,88;9,34;1,64;38425;;;
1995;53,40;3,77;9,02;1,71;36982;;;
1996;52,40;3,85;9,43;1,66;37995;;;
1997;48,00;3,91;9,38;1,65;37651;;;
1998;48,90;3,99;9,51;1,72;39657;;;
1999;45,80;4,21;9,63;1,75;41973;;;
2000;45,20;4,25;9,63;1,74;42152;;;
2001;47,00;4,28;9,65;1,77;42257;;;
2002;45,80;4,21;9,63;1,75;41973;;;
2003;52,40;3,75;9,41;1.71;37991;;;
2004;47,50;3,83;9,38;1,67;38654;;;
2005;53,10;3,97;9,52;1,69;40587;;;
2006;53,10;3,85;9,01;1,75;41745;;;
2007;50,80;3,85;9,22;1,61;39674;;;
2008;52,70;3,75;9,43;1,67;39995;;;
2009;53,50;3,92;9,35;1,73;38756;;;
2010;51,20;3,77;9,12;1,77;40123;;;
2011;52,10;3,81;9,17;1,66;39913;;;
2012;;4,12;9,62;1,73;41125;;;
2013;;4,18;9,64;1,76;42038;;;
